Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2021-02-24,1589.2668006007,1578.2292612042,1715.1315873978,1501.4692901281
ETH,2021-02-25,1524.1806061529,1625.7187678613,1672.5992935701,1500.9203360234
ETH,2021-02-26,1435.7244181925,1483.1639414019,1563.2639513907,1402.7606643416
ETH,2021-02-27,1495.812837494,1445.3511513752,1527.5463555583,1439.9360611903
ETH,2021-02-28,1412.7131887857,1461.1072374866,1470.8625141182,1303.3305059859
ETH,2021-03-01,1555.8447802536,1421.7298613257,1565.393172148,1412.9352310188
ETH,2021-03-02,1483.9120430764,1571.0823653533,1603.538082805,1458.2079512593
ETH,2021-03-03,1593.87899763,1489.5160971805,1653.203487787,1478.7910368521
ETH,2021-03-04,1528.5683097828,1569.9435700836,1624.9801986556,1508.2879121075
ETH,2021-03-05,1543.5683862909,1540.3625483969,1549.1366228473,1444.9536646875
ETH,2021-03-06,1658.8123184002,1529.8408551208,1668.8612654724,1514.7848597658
ETH,2021-03-07,1681.9917947622,1650.9386921003,1695.2060773322,1631.8423418294
ETH,2021-03-08,1782.4868586483,1726.4259762108,1795.3772728454,1668.5448702225
ETH,2021-03-09,1834.6652773466,1833.0535704937,1857.9494561355,1802.1171972382
ETH,2021-03-10,1829.3913235136,1871.9681973295,1878.4979521679,1764.2671363992
ETH,2021-03-11,1822.2317968982,1796.4673269041,1847.3304971959,1726.6915316775
ETH,2021-03-12,1762.2335996562,1827.1797830198,1842.4749540088,1722.7581916294
ETH,2021-03-13,1905.9466708556,1766.6939512109,1936.3226212135,1729.183153458
ETH,2021-03-14,1880.7561142354,1914.8152993398,1924.5684851409,1835.9954149997
ETH,2021-03-15,1789.8440534586,1847.4205702922,1889.7473530839,1737.1588370573
ETH,2021-03-16,1797.8202646051,1795.3613351698,1820.0390641219,1715.664835819
ETH,2021-03-17,1815.7424004952,1805.4800666668,1835.4145162334,1743.7056692341
ETH,2021-03-18,1790.5287290004,1822.4018270872,1849.8263246317,1760.9381574755
ETH,2021-03-19,1819.5551488499,1776.6476675714,1841.0175597539,1735.7254247616
ETH,2021-03-20,1833.745116795,1811.9385661454,1870.0847110358,1803.8837767076
ETH,2021-03-21,1798.8897051251,1807.3548009625,1818.7724844345,1750.7809907775
ETH,2021-03-22,1684.4615704989,1784.119386526,1806.5598574913,1658.9249628257
ETH,2021-03-23,1677.3997094293,1682.9827177716,1722.2969340566,1653.2294126508
ETH,2021-03-24,1592.2323707381,1669.1645595169,1740.5798760258,1548.0577709089
ETH,2021-03-25,1598.2561459368,1583.3947384826,1621.5965348485,1550.2956860288
ETH,2021-03-26,1681.9055387468,1587.2344153964,1696.3262684098,1587.1630837738
ETH,2021-03-27,1722.4718612491,1700.0813899588,1732.3303222895,1669.8251098334
ETH,2021-03-28,1676.3570868781,1713.3386238371,1725.7278299536,1662.9488340658
ETH,2021-03-29,1809.0688833594,1687.1789610226,1839.8005568881,1678.1089319959
ETH,2021-03-30,1841.7557639612,1816.2410826747,1860.0217366209,1787.3647868596
ETH,2021-03-31,1913.851918614,1842.699974292,1947.3556376949,1773.1823380941
ETH,2021-04-01,1968.1667128324,1919.1623035077,1983.4506630735,1888.6410474088
ETH,2021-04-02,2096.5905056962,1968.074621212,2102.1718121175,1950.0066632197
ETH,2021-04-03,2036.7518967658,2133.6128896764,2137.402747669,2004.6928828906
ETH,2021-04-04,2067.5147852089,2011.488248889,2093.7689477643,1983.9925356363
ETH,2021-04-05,2114.1439392315,2076.9769703868,2129.8714520031,2005.4618616129
ETH,2021-04-06,2117.5958108286,2107.4649993634,2151.2542487619,2045.3981058766
ETH,2021-04-07,2011.5504260806,2113.3742316348,2129.3914584458,1933.9071226333
ETH,2021-04-08,2069.660876338,1964.6033762581,2076.8113842204,1950.8914647371
ETH,2021-04-09,2070.601411041,2081.3857854027,2100.2333978021,2050.166955436
ETH,2021-04-10,2118.7059924048,2067.6584243107,2190.7092711711,2059.1617438466
ETH,2021-04-11,2137.0958672385,2133.3263675309,2164.1317975,2111.8299026016
ETH,2021-04-12,2144.4204637437,2151.4067715514,2199.8678801696,2103.671604266
ETH,2021-04-13,2280.9078630653,2137.2770470089,2315.936260515,2135.7268702877
ETH,2021-04-14,2427.8050868766,2299.0545071039,2438.9820496353,2282.7455765206
ETH,2021-04-15,2538.0625778344,2432.6930179144,2542.4273568582,2401.6381877396
ETH,2021-04-16,2438.4295943481,2516.3931678179,2541.5489656186,2328.8307180376
ETH,2021-04-17,2374.755809849,2426.476182434,2495.9216094439,2320.2850168398
ETH,2021-04-18,2249.0086956254,2323.3844151805,2344.3695980676,1978.2242471669
ETH,2021-04-19,2201.6483511822,2242.321493472,2278.9213763161,2086.2029451837
ETH,2021-04-20,2329.1773316843,2164.4719607254,2348.5936136231,2056.2511401256
ETH,2021-04-21,2365.5466472092,2333.2349689901,2470.5075127358,2240.7964866808
ETH,2021-04-22,2424.2205214138,2358.3307230314,2645.141826981,2305.7795403965
ETH,2021-04-23,2329.0314833535,2400.1871252625,2441.9569665034,2107.2913726472
ETH,2021-04-24,2271.378121535,2371.5474681884,2372.6390279134,2172.4091466546
ETH,2021-04-25,2276.2280187885,2219.5625181604,2361.7462351617,2169.992059686
ETH,2021-04-26,2515.3095038267,2323.5880412371,2543.4765692276,2307.7168538942
ETH,2021-04-27,2624.3557189947,2534.8911547491,2683.3023428345,2485.4151824697
ETH,2021-04-28,2726.1520318035,2668.8363944373,2763.0208474853,2563.8179880373
ETH,2021-04-29,2760.3349559568,2750.4995848315,2797.02416887,2676.2941652286
